correctedValue,originalValue,answerCode
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
01/31/2018,31 Jan 2018,td
