correctedValue,originalValue,answerCode
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
BRL,brl,divisa2
BRL,brl,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
MXN,mxn,divisa2
